position,name,year,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
G,Deron Williams,2005,73.75,74.75,202,78.25,98,,,,30,128,35,133,15,10.83,3.25,10,3,2009,24,68,68,2505,463,984,0.471,70,226,0.31,393,758,0.518,326,384,0.849,24,171,195,725,73,20,228,134,1322,21.1,0.573,0.506,0.39,0.23,1.1,8.1,4.6,47.8,1.5,0.6,16.5,24.7,116,111,6.5,1.9,8.4,0.16
G-F,Dijon Thompson,2005,78.25,80,196,81.75,105.5,,,,33.5,137,36,139.5,12,11.37,3.24,91,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drago Pasalic,2005,81.5,83,239,83.75,108.5,,,,25,133.5,30.5,139,11,12.12,3.48,67,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-C,Dwayne Jones,2005,80.5,82,242,86.75,108.5,,,,28,136.5,31.5,140,15,11.87,3.25,38,No,2009,25,6,0,52,4,7,0.571,0,0,,4,7,0.571,4,6,0.667,6,6,12,0,0,1,4,6,12,8,0.622,0.571,0.857,0,14.4,14.2,14.3,0,0,1.6,29.3,12.4,102,110,0,0,0.1,0.051
G,Eddie Basden,2005,76.25,77.5,210,82.25,101,,,,33,134,36.5,137.5,14,10.52,3.21,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eddy Fobbs,2005,82.25,83.25,235,90.75,111.5,,,,29.5,141,34,145.5,12,11.53,3.28,36,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ellis Myles,2005,78,79.25,255,81.75,105.5,,,,26,131.5,28.5,134,15,12.8,3.42,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Ersan Ilyasova,2005,79.75,81,209,85.25,109.5,,,,22,131.5,30,139.5,2,11.59,3.56,74,36,2012,24,60,41,1655,294,597,0.492,51,112,0.455,243,485,0.501,143,183,0.781,196,333,529,71,42,44,76,133,782,20.5,0.577,0.535,0.307,0.188,12.7,22.8,17.6,7,1.3,2,10.1,20.1,118,103,4.4,2,6.4,0.185
F-G,Francisco Garcia,2005,77.75,79,190,82.75,103,,,,27.5,130.5,31.5,134.5,5,10.63,3.33,51,23,2009,27,65,36,1975,295,665,0.444,88,221,0.398,207,444,0.466,146,178,0.82,56,162,218,150,80,67,112,196,824,14.1,0.554,0.51,0.268,0.332,3.3,9.6,6.4,12.6,2.1,2.5,13.1,19.4,107,114,1.7,0.7,2.4,0.058
F,Gerald Green,2005,78,79.25,192,81.75,104,,,,31.5,135.5,39,143,7,11.2,3.21,24,18,2009,23,38,12,376,79,180,0.439,14,46,0.304,65,134,0.485,27,32,0.844,14,40,54,15,10,5,33,51,199,11.4,0.513,0.478,0.178,0.256,4.3,12.1,8.2,6.9,1.4,1,14.5,27.7,94,110,-0.3,0.3,0,-0.002
