position,name,combineyear,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
F,Malik Allen,2000,80.25,81.5,271,86.5,109,,,,25.5,134.5,29,138,13,11.83,3.38,39,No,2003,24,80,73,2318,335,790,0.424,0,4,0,335,786,0.426,97,121,0.802,134,291,425,54,37,78,128,234,767,9.9,0.455,0.424,0.153,0.005,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,89,103,-1.7,2.6,0.9,0.018
,Marcus Goree,2000,79.5,80,239,84.5,105.5,,,,29.5,135,33.5,139,13,12,3.25,24,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mario Bland,2000,77.5,78.5,287,84,103,,,,27,130,31,134,15,13.04,3.47,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mark Karcher,2000,76,77,218,80,102.5,,,,27.5,130,30.5,133,12,11.51,3.4,34,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Mark Madsen,2000,80,81,237,84.5,104.5,,,,30.5,135,33.5,138,13,12.12,3.46,35,29,2002,26,59,5,650,66,146,0.452,0,2,0,66,144,0.458,35,54,0.648,89,73,162,44,16,13,22,104,167,12.7,0.492,0.452,0.37,0.014,15.3,12.3,13.7,9.7,1.3,1.4,11.5,13.2,116,104,1.2,0.8,1.9,0.142
G,Marko Jaric,2000,78.5,80,210,81,104,,,,27.5,131.5,33,137,,11.32,3.28,38,30,2004,25,58,50,1760,185,477,0.388,51,150,0.34,134,327,0.41,74,101,0.733,44,131,175,281,93,20,115,132,495,12.6,0.475,0.441,0.212,0.314,2.8,8.5,5.7,26.3,2.8,0.8,18.1,16,100,108,0.9,0.6,1.5,0.042
,Matt Santangelo,2000,72,72.75,177,75,94,,,,33.5,127.5,43,137,12,10.66,3.06,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Matthew Nielsen,2000,81,,223,82.5,106,,,,26,132,29,135,3,11.28,3.35,43,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Hermon,2000,74.75,75.5,195,78.25,98.5,,,,29,127.5,33,131.5,,11.79,3.25,36,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Michael Redd,2000,76.75,77.75,214,81,102,,,,27,129,31,133,12,12.06,3.34,36,43,2002,22,67,8,1417,294,609,0.483,88,198,0.444,206,411,0.501,91,115,0.791,77,147,224,91,42,7,57,96,767,20,0.581,0.555,0.189,0.325,6.6,11.4,9.1,11.5,1.6,0.4,8,23.7,116,109,3.9,0.7,4.6,0.155
,Nathaniel Johnson,2000,78.5,79,212,80.5,104,,,,27,131,33.5,137.5,13,11.9,3.33,30,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ndongo N'diaye,2000,83.5,84.25,208,87.5,112.5,,,,24.5,137,27.5,140,4,13.16,3.69,60,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nick Sheppard,2000,81.5,82.5,273,83,107.5,,,,23.5,131,25.5,133,18,12.14,3.52,53,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Pepe Sanchez,2000,75,76,194,75.5,96,,,,26,122,31,127,8,11.62,3.44,48,No,2003,25,9,0,37,0,5,0,0,0,,0,5,0,0,0,,4,2,6,8,5,0,2,3,0,11,0,0,0,0,12.6,6.5,9.6,31.9,7.5,0,28.6,9.1,74,92,-0.1,0.1,0,0.042
,Pete Mickeal,2000,77,77.5,222,81.5,103.5,,,,28,131.5,34.5,138,8,10.83,3.06,14,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Primoz Brezec,2000,84.75,85.5,243,86,110,,,,26,136,29.5,139.5,,11.53,3.55,58,27,2003,23,22,1,111,15,38,0.395,0,1,0,15,37,0.405,12,20,0.6,13,10,23,4,2,4,7,16,42,10.9,0.449,0.395,0.526,0.026,13.5,9.9,11.6,6,0.9,2.6,13,21.9,95,103,0,0.1,0.1,0.047
,Reed Rawlings,2000,78.25,79.5,218,81.25,104,,,,28.5,132.5,33.5,137.5,13,11.1,3.27,18,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ron Hale,2000,79.5,80.5,202,83,104.5,,,,29.5,134,34.5,139,11,12.58,3.2,28,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Schea Cotton,2000,76.25,77.38,220,79,100,,,,34,134,38,138,19,11.55,3,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shaheen Holloway,2000,69.5,70.38,174,70,91,,,,,,,,6,11.22,3.32,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Speedy Claxton,2000,70.5,,166,72,94.5,,,,36,130.5,42.5,137,6,10.48,3.06,4,20,2003,24,30,0,471,67,145,0.462,0,11,0,67,134,0.5,39,57,0.684,22,34,56,75,22,7,35,43,173,15.9,0.509,0.462,0.393,0.076,5.7,8,6.9,26.9,2.5,1,17.1,20.2,105,101,0.6,0.6,1.2,0.125
