position,name,combineyear,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
,Donald Little,2003,81.5,82.5,229,87,107,7.3,,,33,140,37,144,18,11.18,3.2,9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doug Wrenn,2003,77.75,78.5,220,79.5,100.5,7.3,,,34.5,135,41,141.5,15,11.38,3.17,8,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Dwyane Wade,2003,75.75,76.75,212,82.75,102,6.7,,,31.5,133.5,35,137,9,10.56,3.08,14,5,2004,22,61,56,2126,371,798,0.465,16,53,0.302,355,745,0.477,233,312,0.747,85,162,247,275,86,34,196,140,991,17.6,0.53,0.475,0.391,0.066,4.6,9,6.8,25.1,2.2,1.3,17.3,25,101,102,2.2,2.3,4.6,0.103
,Ebi Ere,2003,75.5,76.5,210,82.5,102,14.1,,,29.5,131.5,33.5,135.5,,11.38,3.16,58,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hollis Price,2003,71.5,72.5,165,76.5,94.5,7.3,,,27.5,122,33,127.5,1,10.72,3.25,56,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,James Jones,2003,79.25,80.75,218,86.5,107.5,6.7,,,30.5,138,33,140.5,9,11.18,3.19,31,49,2004,23,6,0,26,2,9,0.222,1,4,0.25,1,5,0.2,2,2,1,0,2,2,0,1,0,0,1,7,4.9,0.354,0.278,0.222,0.444,0,9.2,4.5,0,2.1,0,0,17.9,83,100,0,0,0,0.01
C,James Lang,2003,80.25,81.25,316,90.25,110,21.4,,,24.5,134.5,32,142,8,14.01,3.55,74,48,2007,23,11,0,55,4,9,0.444,0,0,,4,9,0.444,3,5,0.6,5,6,11,2,0,3,2,14,11,6.6,0.491,0.444,0.556,0,10.2,12.9,11.5,5.2,0,4.2,15.2,10.6,107,112,0,0,0.1,0.047
,Jason Gardner,2003,69.75,70.75,194,73,92,9.3,,,30.5,122.5,35,127,10,10.62,3.17,17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Jason Kapono,2003,78.5,80,215,78.5,102,11.7,,,23.5,125.5,30,132,8,11.04,3.38,60,31,2004,22,41,3,427,52,129,0.403,21,44,0.477,31,85,0.365,20,24,0.833,19,36,55,14,13,2,21,41,145,10.2,0.519,0.484,0.186,0.341,4.9,9.3,7.1,5.3,1.6,0.3,13.1,16.8,101,107,0.3,0.2,0.5,0.056
,Jason Keep,2003,81.75,83,270,84.5,106.5,8.6,,,29.5,136,34,140.5,27,11.18,3.3,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jeff Newton,2003,80,81,199,85,106,5.3,,,27.5,133.5,34,140,9,11.18,3.23,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jermaine Boyette,2003,73,74.25,187,76,96,7.3,,,29,125,35.5,131.5,14,11.2,3.07,13,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Jerome Beasley,2003,81,82.25,237,84.5,107,9.9,,,27,134,32,139,10,11.36,3.25,42,33,2004,23,2,0,5,1,3,0.333,0,0,,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,2,5.9,0.333,0.333,0,0,0,23.6,11.7,0,0,0,0,28.2,72,104,0,0,0,-0.117
,Jerry Holman,2003,80.75,81.75,232,87.25,109.5,6,,,33,142.5,37.5,147,11,11.54,3.24,23,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joe Shipp,2003,76,77.25,224,82,103,11.7,,,29,132,34.5,137.5,17,11.75,3.2,19,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joel Cornette,2003,80.25,81.5,239,81.25,105.5,12.9,,,26,131.5,32.5,138,13,11.27,3.14,27,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-G,Josh Howard,2003,77.25,78.5,202,86,105.5,6,,,33,138.5,36.5,142,4,10.89,3.09,22,29,2004,23,67,29,1589,229,532,0.43,20,66,0.303,209,466,0.448,97,138,0.703,149,219,368,97,69,54,67,168,575,15.7,0.485,0.449,0.259,0.124,9.9,15.4,12.6,8.8,2.2,2.5,10.2,18.2,107,105,2.3,1.2,3.5,0.104
F,Josh Powell,2003,80,81.5,227,85,107.5,8,,,32.5,140,38.5,146,15,11.72,3.2,16,No,2006,23,37,2,429,37,81,0.457,0,0,,37,81,0.457,36,45,0.8,28,53,81,9,7,4,22,52,110,9.2,0.546,0.457,0.556,0,8,14.6,11.4,3.2,0.9,0.7,17.9,13.4,106,107,0.3,0.4,0.7,0.079
G-F,Keith Bogans,2003,76.25,77.75,213,81.25,101,8,,,29.5,130.5,35,136,10,11.43,3.25,36,43,2004,23,73,36,1787,183,454,0.403,67,187,0.358,116,267,0.434,65,103,0.631,106,211,317,98,46,10,75,128,498,11,0.499,0.477,0.227,0.412,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5,103,111,1.3,0,1.3,0.034
G,Kirk Hinrich,2003,74.75,75.75,186,78,98.5,5.3,,,29,127.5,33.5,132,10,10.98,3.1,20,7,2004,23,76,66,2706,318,823,0.386,144,369,0.39,174,454,0.383,135,168,0.804,42,217,259,517,101,21,204,276,915,13.1,0.51,0.474,0.204,0.448,1.7,9,5.2,32.5,1.9,0.6,18.5,18.2,101,105,2.1,1.9,4.1,0.072
G,Kirk Penney,2003,77,78,218,77.25,97,8,,,32,129,35.5,132.5,15,10.44,3.04,4,No,2004,23,2,0,18,1,6,0.167,1,3,0.333,0,3,0,0,0,,0,1,1,1,1,0,3,1,3,-7.2,0.25,0.25,0,0.5,0,6.6,3.2,8.7,3,0,33.3,23.5,40,102,-0.1,0,-0.1,-0.326
F,Kyle Korver,2003,78.25,79.75,211,81.5,102.5,6.7,,,25.5,128,31.5,134,13,11.42,3.47,59,51,2004,22,74,0,882,115,327,0.352,81,207,0.391,34,120,0.283,19,24,0.792,30,81,111,40,25,8,41,102,330,10.1,0.489,0.476,0.073,0.633,4,10.7,7.4,8.3,1.5,0.7,10.8,20.2,97,104,0.2,0.8,1,0.054
,LaVell Blanchard,2003,78,79.5,205,78,101.5,11.7,,,33.5,135,36.5,138,12,11.64,3.38,34,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-G,LeBron James,2003,79.25,80,245,84.25,106.25,6.7,,,,,,,,,,83,1,2004,19,79,79,3122,622,1492,0.417,63,217,0.29,559,1275,0.438,347,460,0.754,99,333,432,465,130,58,273,149,1654,18.3,0.488,0.438,0.308,0.145,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,99,104,2.4,2.6,5.1,0.078
G,Luke Ridnour,2003,73,74,167,75,95.5,5.3,,,26,121.5,32.5,128,,11,3.28,63,14,2004,22,69,6,1114,145,350,0.414,27,80,0.338,118,270,0.437,65,79,0.823,35,73,108,163,52,7,80,105,382,13.1,0.496,0.453,0.226,0.229,3.7,7.7,5.7,23.9,2.5,0.5,17.2,19.3,101,109,0.9,0.2,1.2,0.051
F,Luke Walton,2003,79.75,81,235,80.5,104,9.3,,,28,132,,,12,,,77,32,2004,23,72,2,730,65,153,0.425,13,39,0.333,52,114,0.456,31,44,0.705,39,88,127,113,28,8,44,70,174,12.7,0.505,0.467,0.288,0.255,6,13.8,9.8,23,2,0.8,20.3,13.3,105,102,0.7,0.9,1.6,0.103
,Marcus Hatten,2003,72.75,73.75,163,78.25,98,4,,,29.5,127.5,37.5,135.5,7,11.5,3.15,32,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marlon Parmer,2003,72.75,73.75,184,75.5,97,9.3,,,28,125,32,129,13,12.46,3.42,72,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-F,Marquis Daniels,2003,77.25,78.75,198,82,103.5,4,,,30.5,134,35,138.5,6,11.62,3.25,46,No,2004,23,56,15,1039,203,411,0.494,11,36,0.306,192,375,0.512,60,78,0.769,66,80,146,116,53,12,44,51,477,20.1,0.536,0.507,0.19,0.088,6.7,8.6,7.6,17.4,2.6,0.9,9,20.6,115,108,2.7,0.4,3.2,0.146
,Marquis Estill,2003,80.5,81.5,257,88,108,11.7,,,30,138,36,144,7,12.92,3.31,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marvin Stone,2003,81.5,82.5,261,87.5,109.5,17.4,,,25.5,135,27.5,137,9,12.1,3.5,69,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Matt Bonner,2003,80.5,82,242,80.75,105.5,13.6,,,27,132.5,32,137.5,20,11.52,3.32,24,45,2005,24,82,0,1553,247,463,0.533,39,92,0.424,208,371,0.561,56,71,0.789,108,177,285,48,39,19,40,220,589,14.7,0.596,0.576,0.153,0.199,7.7,13.1,10.4,5.3,1.3,0.9,7.5,15.7,120,110,3.3,0.9,4.2,0.13
G,Matt Carroll,2003,77,78.25,207,78.5,98.5,6.7,,,29,127.5,33.5,132,13,11.11,3.35,33,No,2004,23,16,0,70,7,16,0.438,1,3,0.333,6,13,0.462,4,6,0.667,1,5,6,2,1,0,6,8,19,3.8,0.51,0.469,0.375,0.188,1.6,8.2,4.9,4.6,0.8,0,24.4,16.5,82,107,-0.1,0,0,-0.033
,Maurice Williams,2003,72.75,74,189,77.5,98.5,6.7,,,,,,,3,,,80,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Ignerski,2003,81.5,83,232,82.75,107,10.5,,,26.5,133.5,33,140,10,11.21,3.13,29,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Mike Sweetney,2003,79.25,80,262,85,107.5,14.1,,,28,135.5,31.5,139,3,12.9,3.28,70,9,2004,21,42,1,494,69,140,0.493,0,1,0,69,139,0.496,42,58,0.724,68,89,157,14,18,12,32,57,180,17.2,0.544,0.493,0.414,0.007,16.1,20.5,18.3,4.8,2,1.8,16.2,18.6,107,101,0.8,0.7,1.4,0.138
F,Nick Collison,2003,80.75,82,255,85.5,108,17,,,28,136,33,141,8,11.62,3.28,54,12,2005,24,82,4,1396,190,354,0.537,0,3,0,190,351,0.541,83,118,0.703,156,220,376,32,34,50,62,252,463,15,0.57,0.537,0.333,0.008,13.7,19.2,16.5,3.9,1.3,2.8,13.3,15.5,117,107,2.7,1.2,3.9,0.135
,Pavel Podkolzine,2003,87.5,89,303,89.75,116,16.3,,,19.5,135.5,22.5,138.5,5,13.4,3.8,76,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rick Anderson,2003,80.25,81.25,216,83,106.5,9.9,,,26,132.5,30.5,137,6,11.23,3.4,64,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Robert Jackson,2003,79.75,81.25,254,84,107.5,15.9,,,23.5,131,26,133.5,15,11.26,3.25,43,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ron Slay,2003,78,79,236,82,103.5,16.3,,,28.5,132,31.5,135,10,12.01,3.43,62,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Ronald Dupree,2003,78,,209,80.25,101,6.7,,,37.5,138.5,41.5,142.5,11,11.09,3.23,12,No,2004,23,47,8,893,111,282,0.394,4,9,0.444,107,273,0.392,66,105,0.629,55,112,167,55,32,18,51,134,292,9.7,0.445,0.401,0.372,0.032,6.5,14.1,10.2,10.6,1.9,1.5,13.4,19,91,103,-0.4,0.9,0.5,0.028
,Ruben Douglas,2003,75.5,77,193,79.25,100.5,6,,,28.5,129,35,135.5,9,11.95,3.27,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sam Hoskin,2003,79.25,80.5,261,82.75,107.5,,,,,,,,24,,,75,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sani Ibrahim,2003,80.5,81.5,229,85,109.5,9.3,,,26,135.5,30.5,140,12,13.02,3.4,67,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Sasha Vujacic,2003,77.5,78.75,193,77.5,101,14.1,,,,,,,,,,84,27,2005,20,35,3,403,33,117,0.282,17,63,0.27,16,54,0.296,18,19,0.947,13,49,62,51,12,2,15,41,101,8.9,0.403,0.355,0.162,0.538,3.7,13.6,8.7,19.5,1.6,0.4,10.7,15.8,98,112,0,0.1,0.2,0.018
,Souleymane Camara,2003,81.75,83.25,211,86.25,109,9.9,,,28.5,137.5,34.5,143.5,2,11.51,3.2,57,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stephane Pelle,2003,79,80.5,246,86,107,12.4,,,28.5,135.5,33,140,17,11.37,3.27,21,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,T.J. Ford,2003,71,72.25,162,71.5,93.5,6.7,,,32.5,126,39.5,133,,11.45,3.2,44,8,2004,20,55,55,1472,153,398,0.384,5,21,0.238,148,377,0.393,80,98,0.816,37,140,177,356,60,3,139,123,391,12.1,0.443,0.391,0.246,0.053,2.9,10.8,6.8,37.4,2.1,0.1,24,17.9,93,106,-0.2,0.9,0.7,0.022
F,Theron Smith,2003,78.5,80,234,82.25,104.5,9.3,,,28.5,133,32,136.5,25,10.99,3.1,3,No,2004,23,20,0,178,16,43,0.372,6,12,0.5,10,31,0.323,6,8,0.75,13,28,41,7,5,5,14,18,44,8.4,0.473,0.442,0.186,0.279,8.2,18,13,6,1.5,2,23.1,15.3,87,102,-0.1,0.2,0.1,0.019
,Tommy Smith,2003,81,82,200,86.25,107.5,6.7,,,30,137.5,33,140.5,2,11.54,3.14,55,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Travis Hansen,2003,76.5,77.5,200,78.5,100.5,6,,,31.5,132,35,135.5,16,10.72,3.18,10,37,2004,25,41,4,507,46,130,0.354,9,30,0.3,37,100,0.37,22,27,0.815,30,40,70,19,10,9,15,67,123,7.2,0.433,0.388,0.208,0.231,6.8,8.8,7.8,6,1,1.3,9.6,14.1,97,109,0.1,0.1,0.2,0.019
,Trevor Harvey,2003,81.5,82.5,245,85,109.5,10.5,,,29.5,139,32,141.5,11,11.85,3.32,52,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Troy Bell,2003,72.25,74,178,77,97.5,5.3,,,34.5,132,41,138.5,17,10.89,3.06,1,16,2004,23,6,0,34,4,18,0.222,0,4,0,4,14,0.286,3,3,1,3,1,4,4,1,0,6,6,11,-4.5,0.285,0.222,0.167,0.222,9.9,3.4,6.6,18.7,1.5,0,23.7,33.5,61,108,-0.2,0,-0.2,-0.326
,Uche Nsonwu-Amadi,2003,79.75,81.25,246,87.75,106.5,6,,,27.5,134,29,135.5,21,11.83,3.25,25,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ugonna Okyekwe,2003,79.25,80.5,228,87,109,4.3,,,32,141,36.5,145.5,8,11.43,3.2,28,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wayne Wallace,2003,79.25,80.75,187,86,108,4.6,,,29.5,137.5,36,144,6,11.85,3.24,53,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wesley Wilson,2003,82.25,83.25,257,87,110.5,12.4,,,27,137.5,30.5,141,20,12.19,3.3,37,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Will McDonald,2003,81.5,82,258,87.5,109.5,13.6,,,25,134.5,32.5,142,17,11.83,3.42,48,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Willie Green,2003,74.5,75.5,201,79.25,100,8,,,28.5,128.5,38.5,138.5,13,11.86,3.19,26,41,2004,22,53,0,767,143,357,0.401,19,61,0.311,124,296,0.419,59,81,0.728,16,49,65,53,26,5,59,83,364,10.8,0.464,0.427,0.227,0.171,2.5,7.5,5,14.1,1.8,0.5,13.1,27.7,89,105,-0.7,0.6,0,-0.003
,Aerick Sanders,2004,78.5,79.5,205,83.5,106,,,,24.5,130.5,30.5,136.5,9,11.98,3.37,58,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Al Jefferson,2004,80.5,81.75,263,86.5,110,,,,28.5,138.5,30,140,3,13.08,3.29,68,15,2005,20,71,1,1051,195,369,0.528,0,3,0,195,366,0.533,85,135,0.63,119,193,312,24,22,55,66,195,475,16.6,0.554,0.528,0.366,0.008,13.5,21,17.3,3.9,1.1,3.9,13.3,21.2,108,104,1.3,1.4,2.7,0.123
,Aleksandar Capin,2004,72,73.25,176,73.5,94,,,,23,117,29,123,4,11.5,3.27,60,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ales Chan,2004,84,86,255,87,113,,,,21,134,29,142,2,12.9,3.62,74,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Andre Barrett,2004,68.75,69.75,171,73,92,,,,29,121,34.5,126.5,13,10.63,3.08,7,No,2005,22,38,1,483,45,124,0.363,14,52,0.269,31,72,0.431,14,19,0.737,11,29,40,69,19,1,27,51,118,8.6,0.446,0.419,0.153,0.419,2.7,6.7,4.7,22.3,2.1,0.1,16.9,15,96,106,-0.1,0.5,0.4,0.041
F,Andre Brown,2004,80,81.5,236,83,107,,,,32,139,35.5,142.5,18,11.7,3.22,11,No,2007,25,38,0,271,42,74,0.568,0,1,0,42,73,0.575,9,15,0.6,26,48,74,2,6,4,29,26,93,11.1,0.577,0.568,0.203,0.014,11.4,21.4,16.4,1.2,1.2,1.1,26.5,18.4,92,109,-0.2,0.2,0,-0.002
F,Andre Emmett,2004,75.5,76.5,216,81,100,8,,,31,133.5,36,138.5,18,10.66,3.15,80,35,2005,22,8,0,28,2,6,0.333,0,0,,2,6,0.333,3,5,0.6,0,2,2,0,0,0,1,4,7,0.9,0.427,0.333,0.833,0,0,8.5,4.3,0,0,0,10.9,15.5,82,110,0,0,0,-0.038
G-F,Andre Iguodala,2004,77.75,78.75,217,83,105.5,,,,30.5,136,34.5,140,4,11.17,3.18,38,9,2005,21,82,82,2686,269,546,0.493,47,142,0.331,222,404,0.55,156,210,0.743,89,375,464,246,138,48,139,204,741,13.5,0.58,0.536,0.385,0.26,3.7,15.9,9.7,14.3,2.6,1.4,17.9,12.8,110,102,2.7,4,6.6,0.118
G,Antonio Burks,2004,72,72.75,191,78.5,96.5,,,,,,,,9,,,76,36,2005,24,24,0,219,28,60,0.467,3,11,0.273,25,49,0.51,14,19,0.737,1,11,12,28,13,1,12,25,73,12.8,0.534,0.492,0.317,0.183,0.5,6,3.3,21.9,3.2,0.4,14.9,17.3,106,104,0.2,0.3,0.5,0.103
,Arthur Johnson,2004,79,80.5,262,87,109,,,,26.5,135.5,28.5,137.5,14,11.81,3.38,45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Ben Gordon,2004,73,74.25,192,80.5,99,,,,31.5,130.5,37.5,136.5,12,11.28,3.19,17,3,2005,21,82,3,2002,434,1056,0.411,134,331,0.405,300,725,0.414,233,270,0.863,55,160,215,164,53,10,186,224,1235,14.9,0.526,0.474,0.256,0.313,3.1,8.9,6,16.3,1.4,0.4,13.7,30.4,100,103,0.8,2.7,3.5,0.084
G,Beno Udrih,2004,74.5,75.75,199,76.5,98,,,,,,,,2,,,77,28,2005,22,80,2,1149,173,390,0.444,58,142,0.408,115,248,0.464,67,89,0.753,16,67,83,150,41,10,77,96,471,14.3,0.549,0.518,0.228,0.364,1.6,6.8,4.2,22.2,1.9,0.6,15.2,20.5,107,102,1.3,1.8,3.1,0.128
G-F,Bernard Robinson,2004,77.25,78.5,208,82,102,,,,28.5,130.5,34.5,136.5,14,10.91,3.17,12,45,2005,24,31,1,328,36,81,0.444,3,8,0.375,33,73,0.452,18,26,0.692,14,34,48,30,11,4,20,42,93,9.8,0.503,0.463,0.321,0.099,4.6,12.5,8.4,14.4,1.7,0.9,17.8,15.2,98,109,0,0.2,0.3,0.037
,Blagota Sekulic,2004,81.25,82.5,234,83,107,,,,23.5,130.5,31.5,138.5,8,10.93,3.39,46,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Brandon Bass,2004,78.25,79.25,246,86.5,106.5,,,,31.5,138,33,139.5,18,11.61,3.24,16,33,2006,20,29,1,268,28,70,0.4,0,0,,28,70,0.4,12,19,0.632,18,50,68,3,3,7,11,18,68,9.1,0.434,0.4,0.271,0,7.8,22.8,15.1,1.8,0.6,2.2,12.3,15.6,90,106,-0.2,0.3,0.1,0.013
,Brian Boddicker,2004,79.5,80.75,230,82,105.5,,,,28,133.5,30,135.5,16,10.93,3.25,23,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bryant Matthews,2004,77.75,78.75,206,84.5,105.5,,,,29,134.5,34.5,140,13,11.08,3.13,14,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Chris Duhon,2004,72,73.25,193,78.5,98,,,,31.5,129.5,35,133,7,10.45,3.14,18,38,2005,22,82,73,2177,172,488,0.352,94,265,0.355,78,223,0.35,49,67,0.731,23,190,213,398,82,3,119,205,487,9.8,0.471,0.449,0.137,0.543,1.2,9.7,5.5,28.6,2,0.1,18.7,13.1,102,102,0.8,3.3,4.1,0.09
,Chris Garnett,2004,80.25,81.75,260,85,108,,,,27,135,31.5,139.5,22,11.75,3.36,26,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Damien Wilkins,2004,76.5,78,222,84,106,,,,26.5,132.5,31,137,15,11.92,3.15,31,No,2005,25,29,7,520,73,168,0.435,16,59,0.271,57,109,0.523,21,34,0.618,29,37,66,26,22,10,16,55,183,13.4,0.5,0.482,0.202,0.351,6.9,8.7,7.8,8.5,2.3,1.5,8,17.7,110,110,0.7,0.3,1,0.092
G,Delonte West,2004,73.5,74.75,183,78,99.5,,,,30,129.5,35,134.5,12,11.2,3.15,21,24,2005,21,39,7,507,66,155,0.426,24,67,0.358,42,88,0.477,19,27,0.704,14,51,65,53,21,8,24,69,175,12.3,0.524,0.503,0.174,0.432,3.3,11.5,7.5,16.4,2.1,1.2,12.6,17,107,107,0.5,0.5,0.9,0.09
G,Desmon Farmer,2004,76.5,77.75,214,80.5,103,,,,24,127,31,134,12,10.89,3.2,30,No,2007,25,8,0,32,5,15,0.333,2,8,0.25,3,7,0.429,1,1,1,0,1,1,9,1,0,1,2,13,15.4,0.421,0.4,0.067,0.533,0,3.8,1.9,46,1.6,0,6.1,23.3,108,114,0,0,0,0.074
G,Devin Harris,2004,73.75,75,170,79.5,98.5,,,,30.5,129,37,135.5,5,11.03,3.19,33,5,2005,21,76,19,1173,157,366,0.429,44,131,0.336,113,235,0.481,78,103,0.757,28,74,102,169,77,19,82,139,436,14.7,0.53,0.489,0.281,0.358,2.7,6.9,4.9,22.5,3.4,1.2,16.6,18.8,106,104,1.1,1.6,2.7,0.111
C-F,Dwight Howard,2004,81,82.25,240,88.5,111.5,,,,30.5,142,35.5,147,7,11.21,3.14,29,1,2005,19,82,82,2670,352,677,0.52,0,2,0,352,675,0.521,277,413,0.671,287,536,823,75,77,136,165,232,981,17.2,0.571,0.52,0.61,0.003,12.2,22.2,17.3,4.4,1.5,3.6,16.1,16.7,111,104,3.8,3.5,7.3,0.131
,Dylan Page,2004,79.5,80.75,239,79,105,,,,26,131,30,135,17,10.99,3.4,32,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-F,Emeka Okafor,2004,80.75,82,257,88,110.5,,,,31.5,142,34,144.5,22,12.32,3.15,8,2,2005,22,73,73,2600,448,1003,0.447,0,1,0,448,1002,0.447,209,343,0.609,275,520,795,64,62,125,125,214,1105,16.3,0.479,0.447,0.342,0.001,11.5,24.1,17.5,4.3,1.2,3.6,9.8,21.8,100,105,0.9,3.1,4,0.074
F,Erik Daniels,2004,78.25,79.5,223,83,106,,,,31,137,32,138,4,11.38,3.19,41,No,2005,22,21,0,72,6,18,0.333,1,2,0.5,5,16,0.313,0,0,,7,11,18,4,2,0,6,7,13,4.6,0.361,0.361,0,0.111,10.9,17.1,14,7.7,1.4,0,25,14.8,77,109,-0.1,0.1,-0.1,-0.061
,Herve Lamizana,2004,79.5,80.5,210,85.5,107,,,,,,,,,,,81,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ivan Koljevic,2004,73,74,172,74.5,95,,,,26,121,28.5,123.5,4,11.07,3.28,51,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,J.R. Smith,2004,77.5,78.75,227,82,104,,,,29,133,35.5,139.5,5,10.93,3.21,35,18,2005,19,76,56,1859,295,748,0.394,81,281,0.288,214,467,0.458,111,161,0.689,39,113,152,142,55,11,109,135,782,10.9,0.478,0.449,0.215,0.376,2.4,7.5,4.8,14.6,1.6,0.5,11.7,23.2,95,110,-0.7,0.9,0.2,0.006
F-C,Jackie Butler,2004,80,81.5,263,85.5,109,,,,23,132,25,134,14,13.32,3.4,67,No,2005,19,3,0,5,4,4,1,0,0,,4,4,1,2,2,1,0,0,0,0,1,0,1,0,10,90.3,1.025,1,0.5,0,0,0,0,0,10.6,0,17,53.7,170,95,0.1,0,0.1,1.333
F-C,Jackson Vroman,2004,81.25,82.75,226,84,105.5,,,,29.5,135,33.5,139,12,10.75,3.25,24,31,2005,23,46,18,705,82,199,0.412,0,3,0,82,196,0.418,48,75,0.64,64,111,175,40,25,19,64,105,212,9.6,0.457,0.412,0.377,0.015,10.3,19.2,14.6,9.6,1.9,2.1,21.6,19.4,87,105,-0.9,0.8,-0.1,-0.006
,Jaime Lloreda,2004,78.75,80.5,247,81.5,107,,,,25.5,132.5,29.5,136.5,6,12.93,3.23,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Jameer Nelson,2004,71,72.25,199,74.5,95,6.7,,,28.5,123.5,33.5,128.5,15,10.95,3.14,10,20,2005,22,79,21,1612,286,628,0.455,44,141,0.312,242,487,0.497,73,107,0.682,52,141,193,237,78,3,117,199,689,14.5,0.51,0.49,0.17,0.225,3.7,9.7,6.7,24.8,2.5,0.1,14.8,21.4,103,108,1.2,1.3,2.5,0.074
