"playerID","yearID","stint","teamID","lgID","G","G_batting","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","G_old","POS","AS"
"acostme01",1914,1,"WS1","AL",39,39,74,10,19,2,2,0,4,3,4,11,18,NA,0,0,NA,NA,39,"OF",FALSE
"acostme01",1915,1,"WS1","AL",72,72,163,20,34,4,1,0,18,8,4,28,15,NA,4,9,NA,NA,72,"OF",FALSE
"acostme01",1918,1,"WS1","AL",3,3,2,0,0,0,0,0,0,0,NA,0,1,NA,0,0,NA,NA,3,"OF",FALSE
"acostme01",1918,2,"PHA","AL",49,49,169,23,51,3,3,0,14,4,NA,18,10,NA,0,10,NA,NA,49,"OF",FALSE
"adairje01",1959,1,"BAL","AL",12,12,35,3,11,0,1,0,2,0,0,1,5,0,0,0,0,0,12,"2B",FALSE
"adairje01",1961,1,"BAL","AL",133,133,386,41,102,21,1,9,37,5,2,35,51,4,2,1,4,6,133,"2B",FALSE
"adairje01",1962,1,"BAL","AL",139,139,538,67,153,29,4,11,48,7,7,27,77,1,2,4,3,15,139,"SS",FALSE
"adairje01",1963,1,"BAL","AL",109,109,382,34,87,21,3,6,30,3,3,9,51,2,2,3,5,17,109,"2B",FALSE
"adairje01",1964,1,"BAL","AL",155,155,569,56,141,20,3,9,47,3,2,28,72,10,1,4,3,20,155,"2B",FALSE
"adairje01",1965,1,"BAL","AL",157,157,582,51,151,26,3,7,66,6,4,35,65,7,2,4,2,26,157,"2B",FALSE
"adairje01",1966,1,"BAL","AL",17,17,52,3,15,1,0,0,3,0,0,4,8,0,0,1,1,1,17,"SS",FALSE
"adairje01",1966,2,"CHA","AL",105,105,370,27,90,18,2,4,36,3,2,17,44,0,1,9,5,14,105,"SS",FALSE
"adairje01",1967,1,"CHA","AL",28,28,98,6,20,4,0,0,9,0,1,4,17,0,1,2,1,5,28,"3B",FALSE
"adairje01",1967,2,"BOS","AL",89,89,316,41,92,13,1,3,26,1,4,13,35,0,2,4,2,10,89,"3B",FALSE
"adairje01",1968,1,"BOS","AL",74,74,208,18,45,1,0,2,12,0,0,9,28,2,1,6,0,10,74,"SS",FALSE
"adairje01",1969,1,"KCA","AL",126,126,432,29,108,9,1,5,48,1,3,20,36,4,3,2,4,24,126,"2B",FALSE
"adairji01",1931,1,"CHN","NL",18,18,76,9,21,3,1,0,3,1,NA,1,8,NA,0,2,NA,NA,18,"SS",FALSE
"adamsbe01",1912,1,"CLE","AL",20,20,54,5,11,2,1,0,6,0,NA,4,NA,NA,0,4,NA,NA,20,"C",FALSE
"adamsbe01",1915,1,"PHI","NL",24,24,27,1,3,0,0,0,2,0,NA,2,3,NA,0,2,NA,NA,24,"C",FALSE
"adamsbe01",1916,1,"PHI","NL",11,11,13,2,3,0,0,0,1,0,NA,0,3,NA,0,0,NA,NA,11,"C",FALSE
"adamsbe01",1917,1,"PHI","NL",43,43,107,4,22,4,1,1,7,0,NA,0,20,NA,0,4,NA,NA,43,"C",FALSE
"adamsbe01",1918,1,"PHI","NL",84,84,227,10,40,4,0,0,12,5,NA,10,26,NA,1,9,NA,NA,84,"C",FALSE
"adamsbe01",1919,1,"PHI","NL",78,78,232,14,54,7,2,1,17,4,NA,6,27,NA,0,3,NA,NA,78,"C",FALSE
"adamsbo03",1946,1,"CIN","NL",94,94,311,35,76,13,3,4,24,16,NA,18,32,NA,3,14,NA,7,94,"2B",FALSE
